SettlementDate,SettlementPeriod,Generation
2016-01-28,44,34943
2016-01-28,45,23929
2016-01-28,46,3394
2016-01-28,47,3126
2016-01-28,48,27714
2016-01-29,1,9791
2016-01-29,2,26458
2016-01-29,3,8777
2016-01-29,4,21066
2016-01-29,5,24657
2016-01-29,6,24527
2016-01-29,7,24099
2016-01-29,8,23760
2016-01-29,9,23756
2016-01-29,10,23859
2016-01-29,11,24644
2016-01-29,12,26046
2016-01-29,13,29607
2016-01-29,14,33052
2016-01-29,15,37338
2016-01-29,16,39025
2016-01-29,17,39576
2016-01-29,18,39298
2016-01-29,19,39811
2016-01-29,20,39652
2016-01-29,21,39513
2016-01-29,22,39393
2016-01-29,23,39404
2016-01-29,24,39360
2016-01-29,25,39384
2016-01-29,26,38887
2016-01-29,27,38445
2016-01-29,28,38119
2016-01-29,29,38041
2016-01-29,30,37724
2016-01-29,31,37777
2016-01-29,32,38540
2016-01-29,33,39725
2016-01-29,34,41801
2016-01-29,35,43872
2016-01-29,36,43930
2016-01-29,37,43620
2016-01-29,38,42735
2016-01-29,39,41486
2016-01-29,40,39955
2016-01-29,41,38451
2016-01-29,42,36713
2016-01-29,43,35000
2016-01-29,44,33046
2016-01-29,45,31278
2016-01-29,46,29704
2016-01-29,47,27901
2016-01-29,48,3102
2016-01-30,1,26247
2016-01-30,2,26447
2016-01-30,3,26011
2016-01-30,4,25209
2016-01-30,5,24457
2016-01-30,6,24025
2016-01-30,7,23366
2016-01-30,8,22768
2016-01-30,9,22458
2016-01-30,10,22327
2016-01-30,11,22661
2016-01-30,12,23084
2016-01-30,13,24425
2016-01-30,14,25657
2016-01-30,15,27543
2016-01-30,16,28845
2016-01-30,17,30871
2016-01-30,18,32784
2016-01-30,19,34316
2016-01-30,20,34838
2016-01-30,21,35085
2016-01-30,22,34554
2016-01-30,23,33668
2016-01-30,24,32992
2016-01-30,25,32586
2016-01-30,26,32299
2016-01-30,27,31949
2016-01-30,28,31899
2016-01-30,29,32203
2016-01-30,30,32637
2016-01-30,31,33383
2016-01-30,32,33985
2016-01-30,33,35450
2016-01-30,34,38001
2016-01-30,35,41123
2016-01-30,36,41835
2016-01-30,37,41587
2016-01-30,38,40516
2016-01-30,39,39280
2016-01-30,40,37865
2016-01-30,41,36487
2016-01-30,42,35126
2016-01-30,43,33874
2016-01-30,44,32345
2016-01-30,45,30957
2016-01-30,46,29981
2016-01-30,47,28365
2016-01-30,48,26580
2016-01-31,1,27025
2016-01-31,2,27268
